english,bsk_nastaliq,transliteration,urdu,pos,category,source,notes
asthma,دام زوواس,DAM ZUWAS,دمہ,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=127; Nastaliq is heuristic from roman book label
sweat,ہوروگو,HUROGO,پسینہ,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=127; Nastaliq is heuristic from roman book label
influenza,وابایی قہورکوموس,WABAAYI QHURCUMUS,فلو / نزلہ,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=127; Nastaliq is heuristic from roman book label
jaundice,کانال,KAANAL,یرقان,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
headache,گاپال وقہولاس,GAPAL UQHOLAS,سر درد,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
colic,کام,CAM,قولنج,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
shiver,سوسو,SUSU,کپکپی,noun/verb,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
leprosy,پیست,PIST,کوڑھ,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
baldness,باتا بییای,BATA BIYAY,گنجا پن,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
fever,داتاگار,DATAGAR,بخار,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
cough,قہوس,QHUS,کھانسی,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
cold,قہورکوموس,QHURCUMUS,زکام,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
toothache,ومے وقہولاس,UME UQHOLAS,دانت درد,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
constipation,قابز,QABZ,قبض,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
diarrhoea,وگومار نییاس,UGUMAR NIYAS,اسہال,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
piles,باباسییر,BABASIIR,بواسیر,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
dysentery,مورووق,MURUUQ,پیچش,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
indigestion,جارے وماناس,JARE OOMANAS,بدہضمی,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
vomit,یق وتاس,EEQ OOTAS,قے,verb/noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
swelling,دوقاس,DOOQAS,ورم,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
giddiness,گاپ زوواس,GAAP ZUWAS,چکر آنا,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=128; Nastaliq is heuristic from roman book label
nausea,وس دورگیناس,OS DURGINAS,متلی,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
restlessness,بییقاراری,BIIQARAARI,بے چینی,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
loss of appetite,چامینے یماناس,CHAMINE EEMANAS,بھوک نہ لگنا,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
obesity,بوت داگانوم,BUT DAGANUM,موٹاپا,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
paralysis,فالیج,FAALIJ,فالج,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
infertility,اولات وماناس,AWLAAT OOMANAS,بے اولادی,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
measles,لویوموک,LOOYUMUC,خسرہ,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
malaria,خیسو-داتاگار,KHISO-DATAGAR,ملیریا,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
typhoid,گالتے داتاگار,GALTE DATAGAR,ٹائیفائیڈ,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
itch,قہاس,QHAS,خارش,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
weakness,ےدالکی اکوواس,EDALCI ACUWAS,کمزوری,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
diabetes,سوگار,SUGAR,ذیابیطس,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
pneumonia,نیمونییاہ,NIMOONIYAH,نمونیا,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
heart attack,ےسے داوراہ,ESE DAWRAH,دل کا دورہ,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
tension,گاپالے بارےسو,GAPALE BARESO,اعصابی تناؤ,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
blindness,سونکوس,SONKUS,اندھا پن,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
deafness,گوتکوس,GUTKUS,بہرا پن,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
dumbness,لاگانکوس,LAGANKUS,گونگا پن,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
abortion,وولجی بالوویاس,UWLJI BALUUYAS,اسقاط حمل,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=129; Nastaliq is heuristic from roman book label
cancer,ساراتان,SARATAAN,سرطان,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=130; Nastaliq is heuristic from roman book label
anemia,مولتانے کامی,MULTANE KAMI,خون کی کمی,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=130; Nastaliq is heuristic from roman book label
allergy,بابار اکوواس,BABAR ACUWAS,الرجی / الٹا اثر,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=130; Nastaliq is heuristic from roman book label
fracture,تین-گالاس,TIN-GALAS,ہڈی ٹوٹنا,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=130; Nastaliq is heuristic from roman book label
scab,فوی,FOY,کھرند,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=130; Nastaliq is heuristic from roman book label
heal up,روو زوواس,RUU ZUWAS,زخم بھرنا,verb,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=130; Nastaliq is heuristic from roman book label
pus,جول,JOL,پیپ,noun,health,34412141-Buruso-Birkis-Burusho-Birkish.pdf,Roman-Urdu-English medical table; page=130; Nastaliq is heuristic from roman book label
